id,number,agent,html_url
3269460141,21751,Copilot,https://github.com/ydb-platform/ydb/pull/21751
3085430966,24678,Copilot,https://github.com/Azure/azure-sdk-for-go/pull/24678
3122755362,250786,Copilot,https://github.com/microsoft/vscode/pull/250786
3119439813,16073,Copilot,https://github.com/mlflow/mlflow/pull/16073
3134392664,49315,Copilot,https://github.com/dotnet/sdk/pull/49315
3136290510,1991,Copilot,https://github.com/celestiaorg/celestia-core/pull/1991
3075031726,9399,Copilot,https://github.com/dotnet/aspire/pull/9399
3273390106,1802,Copilot,https://github.com/microsoft/genaiscript/pull/1802
3070899170,4614,OpenAI_Codex,https://github.com/modular/modular/pull/4614
3140378742,1119,OpenAI_Codex,https://github.com/giselles-ai/giselle/pull/1119
3079520197,4428,OpenAI_Codex,https://github.com/owid/etl/pull/4428
3085512966,4738,OpenAI_Codex,https://github.com/elizaOS/eliza/pull/4738
3166337154,20572,OpenAI_Codex,https://github.com/oven-sh/bun/pull/20572
3094720463,3487,OpenAI_Codex,https://github.com/gofiber/fiber/pull/3487
3091138343,2046,OpenAI_Codex,https://github.com/netket/netket/pull/2046
3268548191,3627,OpenAI_Codex,https://github.com/gofiber/fiber/pull/3627
3193155140,720,OpenAI_Codex,https://github.com/selfxyz/self/pull/720
3246809242,776,OpenAI_Codex,https://github.com/selfxyz/self/pull/776
3232428398,2905,OpenAI_Codex,https://github.com/parse-community/parse-dashboard/pull/2905
3239537329,2919,OpenAI_Codex,https://github.com/parse-community/parse-dashboard/pull/2919
3123639861,377,OpenAI_Codex,https://github.com/WorkflowAI/WorkflowAI/pull/377
3128477850,4989,Cursor,https://github.com/keephq/keep/pull/4989
3133979452,499,Cursor,https://github.com/elie222/inbox-zero/pull/499
3265090887,729,Cursor,https://github.com/pixeltable/pixeltable/pull/729
3185356100,2159,Cursor,https://github.com/browser-use/browser-use/pull/2159
2915901814,2357,Devin,https://github.com/crewAIInc/crewAI/pull/2357
2990773468,348,Devin,https://github.com/ai-shifu/ai-shifu/pull/348
3069414735,5829,Devin,https://github.com/formbricks/formbricks/pull/5829
3054663917,1584,Devin,https://github.com/freenet/freenet-core/pull/1584
2891871225,376,Devin,https://github.com/antiwork/shortest/pull/376
3036975520,426,Devin,https://github.com/ai-shifu/ai-shifu/pull/426
3140927195,2167,Devin,https://github.com/onlook-dev/onlook/pull/2167
